Event Data Level Sequence In Catalog,Unq Users level start,Event Data Unq Users Level Started (Before X Days),Unq Users level complete,Event Data Unq Users Level Completed (Before X Days),Unq Users level fail,Event Data # Level Start Events,Event Data # Level Fail Events,Event Data # Level Complete Events,# Level Steps,Avg Stacks Placed to Complete,Unq Users Level complete (1st attempt),Unq Users Level complete (2nd attempt),Unq Users Level complete (3+ attempt),Unq Users level step,Avg Stacks Placed to Fail,Avg goal complete % - Lvl Fail,# Rv Slot Unlock,# powerup used,unq users used rv slot,Coin Sink,# Level Pre Fail Events,Payers,Total Customer,Median Coin Balance,Coin Balance Below 20,Booster Balance 0,Total Level Revenue,Total Level RV Revenue,Total Level Ad Revenue,IAP Revenue,Funnel %,Level Churn %,Level Fail %,Fail / User,Absolute Level Fail % (Unique),Retry Ratio,Lvl complete % (1st Attempt),Lvl complete % (2nd Attempt),Lvl complete % (3+ Attempt),Unique Level Fail %,Avg Play on used,Avg Powerup Used,Rv Slot % (unique),Level Pre Fail %,Total Revenue / User,Total RV Revenue / User,Total Ad Revenue / User,IAP Revenue / User,ARPPU
556,"64,376","58,444","62,154","56,263","25,848","193,775","114,110","64,211","758,964",112.0,"35,552","9,311","17,767","58,753",47.7,22.5,"53,829","171,928","23,533","920,790","140,622",166,"5,921",48,"13,248","31,907","$3,908.10","$1,368.94","$2,798.53","$1,535.18",7.2%,3.7%,58.9%,1.8,91.3%,3.1,55.2%,14.5%,27.6%,40.2%,11.79,0.89,36.6%,72.6%,$0.06,$0.02,$0.04,$0.02,$0.66
557,"64,818","58,837","62,840","56,897","23,568","168,973","89,639","65,015","606,932",79.8,"38,263","9,151","15,883","57,560",36.2,40.4,"38,267","129,878","19,733","775,550","111,718",126,"5,957",50,"13,793","32,222","$4,101.83","$1,228.92","$2,507.70",$904.62,7.3%,3.3%,53.0%,1.4,88.8%,2.7,59.0%,14.1%,24.5%,36.4%,9.36,0.77,30.4%,66.1%,$0.06,$0.02,$0.04,$0.01,$0.69
558,"62,427","56,442","61,258","55,357","15,517","100,988","31,892","63,178","343,623",68.6,"44,195","8,976","8,349","52,758",45.9,60.3,"21,722","86,267","16,331","634,190","42,071",62,"5,743",52,"11,801","30,078","$2,447.58",$768.20,"$1,526.74",$421.36,7.1%,1.9%,31.6%,0.5,84.5%,1.6,70.8%,14.4%,13.4%,24.9%,5.50,0.85,26.2%,41.7%,$0.04,$0.01,$0.02,$0.01,$0.43
559,"63,872","57,940","61,781","56,059","21,464","144,872","68,603","63,849","634,799",141.1,"39,095","8,861","14,240","57,816",74.6,48.0,"39,775","167,981","22,914","1,112,370","89,741",179,"5,869",47,"13,188","31,415","$2,650.41",$919.59,"$1,957.47","$1,173.99",7.2%,3.2%,47.4%,1.1,90.5%,2.3,61.2%,13.9%,22.3%,33.6%,9.94,1.16,35.9%,61.9%,$0.04,$0.01,$0.03,$0.02,$0.45
560,"63,529","57,728","61,712","55,980","23,582","157,719","82,256","63,778","590,319",113.6,"37,107","8,881","16,155","57,466",35.8,24.5,"46,457","139,239","24,026","778,620","100,642",127,"5,865",48,"13,986","32,100","$3,650.02","$1,218.59","$2,311.26",$921.67,7.2%,3.0%,52.2%,1.3,90.5%,2.6,58.4%,14.0%,25.4%,37.1%,9.29,0.88,37.8%,63.8%,$0.06,$0.02,$0.04,$0.01,$0.62
561,"56,778","50,925","55,937","50,212","7,745","74,538","14,387","56,846","229,571",67.2,"47,023","4,999","4,026","44,202",44.1,57.6,"15,482","45,575","10,569","299,280","19,424",38,"5,162",54,"10,477","27,653","$2,321.73",$743.47,"$1,400.87",$218.53,6.5%,1.4%,19.3%,0.3,77.9%,1.3,82.8%,8.8%,7.1%,13.6%,4.04,0.61,18.6%,26.1%,$0.04,$0.01,$0.02,$0.00,$0.45
562,"56,606","50,758","55,402","49,709","16,051","109,118","46,385","56,221","398,658",52.0,"38,514","7,437","9,648","47,083",40.0,55.3,"29,740","107,944","13,404","627,680","61,298",88,"5,114",54,"9,583","26,691","$1,739.14",$584.95,"$1,325.02",$700.98,6.5%,2.1%,42.5%,0.8,83.2%,2.0,68.0%,13.1%,17.0%,28.4%,7.04,0.99,23.7%,56.2%,$0.03,$0.01,$0.02,$0.01,$0.34
563,"62,546","56,786","61,302","55,566","20,177","124,230","53,226","63,366","419,571",54.3,"39,961","9,431","12,299","53,798",38.3,54.9,"38,672","112,726","21,724","724,290","66,289",77,"5,723",56,"10,489","29,129","$2,238.99",$771.74,"$1,557.86",$537.15,7.1%,2.1%,42.8%,0.9,86.0%,2.0,63.9%,15.1%,19.7%,32.3%,6.71,0.91,34.7%,53.4%,$0.04,$0.01,$0.02,$0.01,$0.39
564,"62,678","56,889","61,554","55,845","15,662","100,131","30,791","63,633","356,414",84.4,"44,426","9,449","8,024","52,954",49.1,47.7,"19,147","78,079","12,684","543,380","41,333",50,"5,838",59,"10,604","29,413","$2,040.51",$749.99,"$1,448.41",$424.47,7.2%,1.8%,30.8%,0.5,84.5%,1.6,70.9%,15.1%,12.8%,25.0%,5.69,0.78,20.2%,41.3%,$0.03,$0.01,$0.02,$0.01,$0.35
565,"61,054","55,333","59,705","54,087","17,023","121,547","51,871","61,611","463,252",101.2,"41,445","7,940","10,589","53,182",42.6,39.8,"38,797","119,492","22,425","761,680","65,046",74,"5,653",58,"10,442","28,138","$2,075.00",$685.72,"$1,546.86",$504.21,7.0%,2.3%,42.7%,0.8,87.1%,2.0,67.9%,13.0%,17.3%,27.9%,7.59,0.98,36.7%,53.5%,$0.03,$0.01,$0.03,$0.01,$0.37
566,"60,683","54,945","58,761","53,260","20,220","162,869","89,118","60,584","596,226",83.3,"37,934","7,710","13,442","52,803",40.5,47.7,"31,619","126,402","15,222","814,730","111,929",134,"5,665",57,"11,648","28,916","$2,927.05",$988.78,"$2,073.22","$1,040.48",6.8%,3.1%,54.7%,1.5,87.0%,2.8,62.5%,12.7%,22.2%,33.3%,9.83,0.78,25.1%,68.7%,$0.05,$0.02,$0.03,$0.02,$0.52
567,"61,889","56,257","60,300","54,735","20,209","135,576","62,150","62,401","570,863",136.4,"38,607","8,778","13,312","55,942",54.7,43.9,"42,867","145,437","22,319","924,585","78,579",141,"5,758",53,"11,995","29,732","$2,949.31",$937.08,"$1,954.94","$1,023.37",7.0%,2.7%,45.8%,1.0,90.4%,2.2,62.4%,14.2%,21.5%,32.7%,9.22,1.07,36.1%,58.0%,$0.05,$0.02,$0.03,$0.02,$0.51
568,"61,888","56,194","60,252","54,598","24,206","149,565","76,876","62,277","530,193",60.4,"35,087","9,388","16,245","55,244",39.6,52.9,"36,311","128,765","19,415","822,250","97,269",127,"5,673",52,"13,044","30,554","$3,237.32","$1,122.75","$2,216.84","$1,124.56",7.0%,2.8%,51.4%,1.2,89.3%,2.5,56.7%,15.2%,26.2%,39.1%,8.57,0.86,31.4%,65.0%,$0.05,$0.02,$0.04,$0.02,$0.57
569,"62,235","56,594","60,275","54,705","24,455","170,643","93,983","62,416","666,171",105.2,"34,984","8,151","17,588","56,566",45.8,35.5,"47,955","170,974","24,186","1,030,065","116,032",197,"5,753",47,"13,977","31,486","$3,599.02","$1,079.94","$2,199.93","$1,649.81",7.0%,3.3%,55.1%,1.5,90.9%,2.8,56.2%,13.1%,28.3%,39.3%,10.70,1.00,38.9%,68.0%,$0.06,$0.02,$0.04,$0.03,$0.63
570,"62,643","56,952","60,863","55,181","19,438","166,802","89,972","62,952","599,576",82.4,"40,833","7,376","13,054","54,134",42.3,28.0,"41,156","124,054","19,884","631,915","110,772",127,"5,821",50,"14,004","32,067","$4,116.30","$1,306.40","$2,465.53",$932.43,7.1%,3.1%,53.9%,1.4,86.4%,2.7,65.2%,11.8%,20.8%,31.0%,9.57,0.74,31.7%,66.4%,$0.07,$0.02,$0.04,$0.01,$0.71
571,"62,219","56,425","60,628","54,946","21,438","134,501","62,199","62,775","506,094",81.4,"38,018","9,387","13,691","55,084",43.9,48.9,"31,031","123,723","18,581","784,510","80,880",106,"5,770",49,"12,711","31,002","$2,937.53",$920.59,"$1,897.14",$673.81,7.1%,2.6%,46.2%,1.0,88.5%,2.2,61.1%,15.1%,22.0%,34.5%,8.13,0.92,29.9%,60.1%,$0.05,$0.01,$0.03,$0.01,$0.51
572,"62,337","56,575","59,997","54,445","27,336","189,419","111,528","62,190","719,646",96.6,"32,165","9,312","19,074","57,212",44.1,50.6,"44,978","157,744","22,592","887,310","140,006",157,"5,789",48,"13,751","31,357","$3,300.33","$1,077.40","$2,298.85","$1,111.21",7.0%,3.8%,58.9%,1.8,91.8%,3.2,51.6%,14.9%,30.6%,43.9%,11.54,0.83,36.2%,73.9%,$0.05,$0.02,$0.04,$0.02,$0.57
573,"61,272","55,677","60,162","54,620","16,985","105,572","37,327","62,338","346,156",66.5,"41,908","9,125","9,527","52,161",35.1,40.0,"25,998","76,998","17,177","476,985","48,079",65,"5,659",54,"11,901","30,014","$2,687.68",$870.25,"$1,677.16",$448.32,7.0%,1.9%,35.4%,0.6,85.1%,1.8,68.4%,14.9%,15.5%,27.7%,5.65,0.73,28.0%,45.5%,$0.04,$0.01,$0.03,$0.01,$0.47
574,"61,920","56,295","60,237","54,672","22,116","145,372","71,732","62,386","560,868",111.5,"37,058","8,887","14,742","55,476",43.4,39.5,"36,041","129,419","18,121","789,365","91,015",122,"5,768",52,"11,996","29,895","$2,778.60",$920.54,"$1,948.64","$1,170.63",7.0%,2.9%,49.3%,1.2,89.6%,2.4,59.8%,14.4%,23.8%,35.7%,9.06,0.89,29.3%,62.6%,$0.04,$0.01,$0.03,$0.02,$0.48
575,"60,270","54,670","58,317","52,963","20,292","171,070","97,957","60,253","674,821",83.1,"37,444","7,579","13,705","52,272",40.9,24.4,"48,469","163,866","20,705","863,280","124,916",151,"5,607",50,"12,770","29,707","$3,755.80","$1,237.03","$2,405.66","$1,297.25",6.8%,3.1%,57.3%,1.6,86.7%,2.9,62.1%,12.6%,22.7%,33.7%,11.20,0.96,34.4%,73.0%,$0.06,$0.02,$0.04,$0.02,$0.67
576,"61,041","55,561","59,296","53,918","22,176","144,888","72,119","61,369","590,294",125.6,"35,941","8,461","15,295","55,642",44.4,34.8,"45,827","150,804","24,267","872,730","89,247",121,"5,640",49,"12,879","30,111","$3,254.24","$1,025.50","$2,047.89","$1,096.74",6.9%,3.0%,49.8%,1.2,91.2%,2.4,58.9%,13.9%,25.1%,36.3%,9.67,1.04,39.8%,61.6%,$0.05,$0.02,$0.03,$0.02,$0.58
577,"60,761","55,250","59,708","54,237","16,495","106,122","38,235","61,862","353,005",81.7,"41,865","8,565","9,639","51,951",35.7,39.4,"26,047","81,611","16,656","501,530","47,549",67,"5,568",54,"11,978","29,480","$2,923.83",$942.61,"$1,770.07",$518.28,7.0%,1.8%,36.0%,0.6,85.5%,1.8,68.9%,14.1%,15.9%,27.1%,5.81,0.77,27.4%,44.8%,$0.05,$0.02,$0.03,$0.01,$0.53
578,"61,242","55,736","59,725","54,252","21,916","141,616","69,428","61,852","522,983",84.8,"36,696","8,865","14,629","54,427",36.5,28.2,"33,267","122,602","18,458","752,585","86,554",110,"5,692",53,"11,830","29,308","$2,491.70",$792.49,"$1,811.85","$1,074.69",7.0%,2.7%,49.0%,1.1,88.9%,2.4,59.9%,14.5%,23.9%,35.8%,8.54,0.87,30.1%,61.1%,$0.04,$0.01,$0.03,$0.02,$0.44
579,"60,860","55,267","59,850","54,317","13,137","93,680","26,100","61,907","364,678",120.9,"45,010","8,020","7,073","52,126",54.8,42.0,"29,017","90,846","18,618","554,025","34,066",65,"5,615",56,"10,715","28,849","$2,311.44",$738.84,"$1,478.66",$418.26,7.0%,1.7%,27.9%,0.4,85.6%,1.6,74.0%,13.2%,11.6%,21.6%,5.99,0.97,30.6%,36.4%,$0.04,$0.01,$0.02,$0.01,$0.41
580,"62,415","56,863","60,070","54,672","26,078","190,066","109,915","62,220","761,325",114.3,"33,084","8,789","18,699","57,704",49.9,8.4,"50,852","170,024","23,430","932,305","136,300",153,"5,798",52,"12,577","29,937","$3,479.59","$1,130.36","$2,602.00","$1,027.23",7.0%,3.9%,57.8%,1.8,92.5%,3.2,53.0%,14.1%,30.0%,41.8%,12.20,0.89,37.5%,71.7%,$0.06,$0.02,$0.04,$0.02,$0.60
581,"61,096","55,520","59,745","54,302","18,339","114,354","45,300","61,955","440,001",111.2,"40,047","9,268","10,821","53,358",38.7,39.7,"30,790","108,318","18,780","693,140","58,225",91,"5,581",54,"11,865","29,133","$2,996.68",$981.96,"$1,871.17",$780.97,7.0%,2.2%,39.6%,0.7,87.3%,1.9,65.5%,15.2%,17.7%,30.0%,7.20,0.95,30.7%,50.9%,$0.05,$0.02,$0.03,$0.01,$0.54
582,"62,143","56,651","59,866","54,387","26,418","194,706","115,833","62,009","770,639",90.5,"32,751","8,353","19,223","56,940",43.8,50.6,"57,567","193,383","24,637","1,088,500","143,950",209,"5,699",48,"13,978","30,774","$3,754.56","$1,311.47","$2,732.09","$1,578.69",7.0%,4.0%,59.5%,1.9,91.6%,3.3,52.7%,13.4%,30.9%,42.5%,12.40,0.99,39.6%,73.9%,$0.06,$0.02,$0.04,$0.03,$0.66
583,"59,615","54,136","58,693","53,236","11,899","85,588","20,644","60,688","288,400",89.7,"45,218","8,064","5,639","49,690",41.4,39.5,"23,238","64,194","15,665","398,570","27,029",50,"5,568",56,"11,648","29,108","$3,049.24",$932.28,"$1,590.09",$319.48,6.8%,1.7%,24.1%,0.3,83.4%,1.5,75.9%,13.5%,9.5%,20.0%,4.84,0.75,26.3%,31.6%,$0.05,$0.02,$0.03,$0.01,$0.55
584,"61,970","56,437","60,171","54,691","20,893","158,434","83,024","62,225","584,828",78.3,"38,342","8,233","13,956","54,717",49.2,38.4,"45,351","131,368","22,288","752,360","101,196",117,"5,818",54,"11,788","29,684","$2,592.03",$912.93,"$2,060.88",$812.65,7.0%,3.1%,52.4%,1.3,88.3%,2.6,61.9%,13.3%,22.5%,33.7%,9.44,0.83,36.0%,63.9%,$0.04,$0.01,$0.03,$0.01,$0.45
585,"59,995","54,427","58,248","52,804","19,839","153,531","82,554","60,123","569,991",72.6,"37,598","7,554","13,454","51,987",36.4,18.5,"37,764","138,208","17,024","815,840","105,090",116,"5,571",52,"12,281","29,295","$3,067.93","$1,137.78","$2,131.38",$983.70,6.8%,3.0%,53.8%,1.4,86.7%,2.6,62.7%,12.6%,22.4%,33.1%,9.50,0.90,28.4%,68.4%,$0.05,$0.02,$0.04,$0.02,$0.55
586,"59,575","54,063","58,431","53,003","15,658","103,701","36,599","60,408","420,981",122.7,"41,124","8,519","9,110","52,304",54.0,56.7,"24,032","99,074","13,860","665,750","48,541",87,"5,508",54,"11,302","28,854","$2,602.17",$735.53,"$1,488.59",$552.04,6.8%,2.0%,35.3%,0.6,87.8%,1.8,69.0%,14.3%,15.3%,26.3%,7.07,0.96,23.3%,46.8%,$0.04,$0.01,$0.02,$0.01,$0.47
587,"60,575","55,101","59,453","54,060","15,502","102,817","35,065","61,646","363,504",84.3,"42,588","8,411","8,816","51,522",47.7,59.2,"24,224","81,934","15,278","541,065","45,180",73,"5,617",57.5,"10,554","28,828","$2,058.45",$661.45,"$1,501.41",$637.26,6.9%,1.9%,34.1%,0.6,85.1%,1.7,70.3%,13.9%,14.6%,25.6%,6.00,0.80,25.2%,43.9%,$0.03,$0.01,$0.02,$0.01,$0.37
588,"61,035","55,478","59,977","54,439","13,376","99,323","31,010","62,102","353,985",93.6,"45,101","7,945","7,237","51,222",53.1,48.4,"19,269","72,141","11,690","481,770","40,669",55,"5,651",61,"9,888","28,291","$1,877.15",$662.75,"$1,412.92",$427.37,7.0%,1.9%,31.2%,0.5,83.9%,1.7,73.9%,13.0%,11.9%,21.9%,5.80,0.73,19.2%,40.9%,$0.03,$0.01,$0.02,$0.01,$0.33
589,"60,840","55,234","59,655","54,127","15,204","100,561","32,727","61,691","376,049",117.6,"42,906","8,311","8,762","52,561",44.3,30.4,"28,726","91,222","18,181","612,835","41,750",47,"5,684",63,"9,136","27,400","$1,959.83",$583.47,"$1,340.55",$293.50,7.0%,2.0%,32.5%,0.5,86.4%,1.7,70.5%,13.7%,14.4%,25.0%,6.18,0.91,29.9%,41.5%,$0.03,$0.01,$0.02,$0.00,$0.34
590,"61,008","55,423","59,453","53,936","22,060","135,428","64,506","61,519","484,377",82.4,"36,245","9,104","14,538","54,347",31.4,19.2,"37,465","126,294","21,104","852,175","80,252",125,"5,730",59,"10,390","27,900","$2,283.92",$826.97,"$1,787.75",$874.64,6.9%,2.7%,47.6%,1.1,89.1%,2.3,59.4%,14.9%,23.8%,36.2%,7.94,0.93,34.6%,59.3%,$0.04,$0.01,$0.03,$0.01,$0.40
591,"59,260","53,730","58,551","53,101","10,845","80,515","17,057","60,430","239,725",71.4,"46,488","7,815","4,471","48,061",28.2,29.3,"13,279","48,804","10,506","371,730","22,193",43,"5,511",67,"9,616","26,694","$2,070.12",$690.34,"$1,312.29",$355.55,6.8%,1.2%,21.2%,0.3,81.1%,1.4,78.4%,13.2%,7.5%,18.3%,4.05,0.61,17.7%,27.6%,$0.03,$0.01,$0.02,$0.01,$0.38
592,"62,132","56,604","59,825","54,373","24,029","187,702","107,194","61,952","772,775",148.6,"34,884","8,192","17,210","57,076",71.4,43.2,"41,743","184,369","22,696","1,200,035","135,933",209,"5,841",54,"12,175","28,915","$3,009.14",$896.70,"$2,323.21","$1,543.63",7.0%,3.9%,57.1%,1.7,91.9%,3.1,56.1%,13.2%,27.7%,38.7%,12.44,0.98,36.5%,72.4%,$0.05,$0.01,$0.04,$0.02,$0.52
593,"61,391","55,806","59,878","54,408","19,081","122,442","51,907","62,030","488,332",105.8,"39,627","8,966","11,772","54,065",36.0,27.7,"32,313","128,808","16,753","698,670","66,976",83,"5,760",56,"12,636","29,889","$3,785.27","$1,171.29","$2,187.53",$613.97,7.0%,2.5%,42.4%,0.8,88.1%,2.0,64.5%,14.6%,19.2%,31.1%,7.95,1.05,27.3%,54.7%,$0.06,$0.02,$0.04,$0.01,$0.66
594,"61,165","55,608","59,892","54,380","17,383","112,155","42,817","62,014","402,701",91.8,"41,147","8,626","10,493","53,027",36.2,17.7,"34,667","98,280","20,905","588,240","53,569",70,"5,665",59,"11,029","28,508","$2,355.41",$759.59,"$1,590.46",$618.23,7.0%,2.2%,38.2%,0.7,86.7%,1.9,67.3%,14.1%,17.2%,28.4%,6.58,0.88,34.2%,47.8%,$0.04,$0.01,$0.03,$0.01,$0.42
595,"54,915","49,337","53,216","47,770","17,901","139,902","75,590","54,078","497,139",110.8,"34,571","6,724","12,129","48,072",24.2,20.2,"31,624","118,086","17,263","820,000","93,365",116,"5,076",53,"10,303","25,561","$2,451.69",$839.13,"$1,697.76",$947.68,6.2%,3.2%,54.0%,1.4,87.5%,2.6,63.0%,12.2%,22.1%,32.6%,9.05,0.84,31.4%,66.7%,$0.04,$0.02,$0.03,$0.02,$0.48
596,"60,217","54,705","58,350","52,997","21,091","162,034","88,053","60,472","648,579",108.7,"36,376","7,873","14,503","53,953",39.3,29.9,"44,949","168,925","20,744","1,073,810","108,917",150,"5,641",51,"11,983","28,944","$3,242.81",$980.29,"$2,093.46","$1,083.30",6.8%,3.1%,54.3%,1.5,89.6%,2.8,60.4%,13.1%,24.1%,35.0%,10.77,1.04,34.4%,67.2%,$0.05,$0.02,$0.03,$0.02,$0.57
597,"59,834","54,406","58,581","53,172","18,102","128,364","59,488","60,672","432,731",59.0,"39,590","7,823","11,552","51,288",36.0,33.8,"40,410","96,252","18,481","503,590","72,106",80,"5,580",55,"11,589","28,988","$2,954.47","$1,012.79","$1,960.98",$538.12,6.8%,2.3%,46.3%,1.0,85.7%,2.2,66.2%,13.1%,19.3%,30.3%,7.23,0.75,30.9%,56.2%,$0.05,$0.02,$0.03,$0.01,$0.53
598,"60,352","54,815","58,449","53,026","22,672","159,640","86,296","60,505","637,372",132.6,"34,964","8,038","15,897","55,235",41.9,25.0,"52,995","167,964","26,628","1,000,995","106,316",161,"5,650",50,"12,039","29,000","$2,985.87","$1,098.78","$2,114.23","$1,250.11",6.8%,3.3%,54.1%,1.4,91.5%,2.7,57.9%,13.3%,26.3%,37.6%,10.56,1.05,44.1%,66.6%,$0.05,$0.02,$0.04,$0.02,$0.53
599,"58,161","52,700","57,133","51,768","15,132","95,201","30,889","59,065","321,529",65.9,"40,598","8,568","8,288","49,495",33.2,44.4,"23,230","75,599","15,137","503,465","39,200",62,"5,496",56,"11,258","27,890","$2,840.16",$910.79,"$1,671.71",$437.36,6.7%,1.8%,32.4%,0.5,85.1%,1.7,69.8%,14.7%,14.3%,26.0%,5.53,0.79,26.0%,41.2%,$0.05,$0.02,$0.03,$0.01,$0.52
600,"60,425","54,960","58,875","53,444","21,141","143,059","71,213","61,050","554,009",106.0,"36,722","8,653","13,989","54,232",42.1,39.3,"40,633","134,503","20,905","803,885","90,422",110,"5,681",55,"11,761","28,910","$2,548.70",$900.88,"$1,958.67",$685.79,6.9%,2.8%,49.8%,1.2,89.8%,2.4,60.8%,14.3%,23.2%,35.0%,9.17,0.94,34.6%,63.2%,$0.04,$0.01,$0.03,$0.01,$0.45
601,"60,297","54,847","58,912","53,526","18,606","124,682","54,689","60,973","463,514",84.9,"38,925","8,522","11,856","52,726",44.1,38.6,"33,857","113,682","19,097","717,360","68,582",110,"5,673",55,"11,670","28,911","$2,645.87",$936.86,"$1,940.09",$704.78,6.9%,2.4%,43.9%,0.9,87.4%,2.1,64.6%,14.1%,19.7%,30.9%,7.69,0.91,31.7%,55.0%,$0.04,$0.02,$0.03,$0.01,$0.47
602,"58,976","53,541","56,040","50,941","21,311","233,561","153,376","57,925","962,996",114.0,"34,942","6,829","14,612","52,519",60.2,37.7,"76,702","233,668","24,924","1,220,380","191,649",273,"5,598",47,"13,563","29,560","$4,457.15","$1,539.74","$3,092.52","$1,985.55",6.5%,4.9%,65.7%,2.6,89.1%,4.2,59.2%,11.6%,24.8%,36.1%,16.33,1.00,42.3%,82.1%,$0.08,$0.03,$0.05,$0.03,$0.80
603,"52,656","48,620","51,893","47,874","9,203","78,136","21,603","52,751","215,072",54.2,"41,764","4,579","5,742","39,434",34.3,21.3,"8,787","35,663","5,638","261,045","26,806",38,"4,875",54,"10,382","26,164","$2,938.49",$848.19,"$1,458.84",$374.59,6.0%,1.5%,27.6%,0.4,74.9%,1.5,79.3%,8.7%,10.9%,17.5%,4.08,0.46,10.7%,34.3%,$0.06,$0.02,$0.03,$0.01,$0.60
604,"53,124","49,077","52,031","48,038","16,147","101,120","42,262","52,914","326,937",62.2,"34,823","7,685","9,708","45,326",39.0,57.4,"26,114","82,392","15,824","551,640","53,007",53,"4,881",55,"8,758","24,858","$1,544.58",$410.83,"$1,090.12",$324.44,6.1%,2.1%,41.8%,0.8,85.3%,1.9,65.6%,14.5%,18.3%,30.4%,6.15,0.81,29.8%,52.4%,$0.03,$0.01,$0.02,$0.01,$0.32
605,"57,203","52,052","56,038","51,020","13,810","95,205","31,371","57,961","379,049",128.7,"40,929","7,617","7,780","49,580",51.1,44.4,"29,061","99,570","17,365","679,030","41,197",54,"5,447",57,"9,489","26,612","$1,805.68",$659.70,"$1,331.32",$405.40,6.5%,2.0%,33.0%,0.5,86.7%,1.7,71.6%,13.3%,13.6%,24.1%,6.63,1.05,30.4%,43.3%,$0.03,$0.01,$0.02,$0.01,$0.33
606,"58,278","53,099","57,092","52,038","14,511","94,084","28,772","59,185","377,756",121.1,"41,043","8,778","7,622","50,518",49.3,25.1,"22,911","85,406","14,392","577,265","38,845",78,"5,473",61,"9,856","27,241","$1,894.11",$692.08,"$1,448.84",$699.15,6.7%,2.0%,30.6%,0.5,86.7%,1.6,70.4%,15.1%,13.1%,24.9%,6.48,0.91,24.7%,41.3%,$0.03,$0.01,$0.02,$0.01,$0.35
607,"58,625","53,510","57,093","52,068","18,362","127,327","58,209","59,179","522,647",130.4,"37,438","7,860","12,201","52,631",52.0,37.9,"34,805","131,341","18,938","868,590","73,286",91,"5,550",57,"10,636","27,269","$2,589.11",$752.17,"$1,767.23",$530.00,6.7%,2.7%,45.7%,1.0,89.8%,2.2,63.9%,13.4%,20.8%,31.3%,8.92,1.03,32.3%,57.6%,$0.04,$0.01,$0.03,$0.01,$0.47
608,"58,800","53,635","57,424","52,352","21,026","133,479","65,503","59,624","443,649",61.4,"35,474","8,485","13,928","51,904",28.0,33.9,"31,447","99,128","18,687","645,070","79,868",92,"5,523",60,"10,960","27,680","$2,698.25",$886.37,"$1,885.54",$595.01,6.7%,2.4%,49.1%,1.1,88.3%,2.3,60.3%,14.4%,23.7%,35.8%,7.55,0.74,31.8%,59.8%,$0.05,$0.02,$0.03,$0.01,$0.49
609,"58,805","53,666","56,749","51,769","23,162","175,521","102,893","58,876","653,897",101.8,"33,036","7,698","16,448","53,128",36.7,28.0,"45,762","169,962","23,558","1,150,015","124,929",184,"5,460",52,"12,027","28,202","$3,128.92",$968.14,"$2,091.36","$1,598.76",6.6%,3.5%,58.6%,1.7,90.3%,3.1,56.2%,13.1%,28.0%,39.4%,11.12,0.97,40.1%,71.2%,$0.05,$0.02,$0.04,$0.03,$0.57
610,"60,119","55,033","57,323","52,190","27,333","294,289","207,082","59,329","1,101,369",117.2,"30,144","7,475","20,192","55,952",52.6,46.0,"53,163","197,649","20,285","1,097,400","250,124",225,"5,728",46,"14,968","31,083","$5,791.96","$1,636.13","$4,004.81","$1,807.17",6.7%,5.2%,70.4%,3.4,93.1%,5.1,50.1%,12.4%,33.6%,45.5%,18.32,0.67,33.7%,85.0%,$0.10,$0.03,$0.07,$0.03,$1.01
611,"52,390","47,148","51,684","46,502","9,924","79,745","23,578","52,525","252,099",57.1,"40,750","5,107","5,998","41,123",31.2,25.3,"13,453","50,590","8,280","333,530","31,008",46,"4,843",52,"10,735","26,308","$2,749.06",$828.13,"$1,505.80",$386.50,6.0%,1.4%,29.6%,0.5,78.5%,1.5,77.8%,9.7%,11.4%,18.9%,4.81,0.63,15.8%,38.9%,$0.05,$0.02,$0.03,$0.01,$0.57
612,"52,369","47,143","51,335","46,261","13,280","90,068","32,386","52,185","315,075",78.7,"36,963","6,976","7,573","43,727",34.8,19.5,"22,674","72,699","13,162","469,260","41,034",55,"4,852",55,"8,836","24,849","$1,715.05",$406.04,"$1,043.74",$411.43,6.0%,1.9%,36.0%,0.6,83.5%,1.8,70.6%,13.3%,14.5%,25.4%,6.02,0.81,25.1%,45.6%,$0.03,$0.01,$0.02,$0.01,$0.35
613,"58,715","53,562","57,334","52,246","16,960","123,496","55,603","59,434","455,507",123.3,"39,154","7,636","10,910","51,581",36.2,21.3,"29,559","100,585","17,498","657,525","67,976",84,"5,541",57,"9,656","27,117","$2,096.59",$680.53,"$1,541.31",$747.90,6.7%,2.5%,45.0%,0.9,87.8%,2.2,66.7%,13.0%,18.6%,28.9%,7.76,0.81,29.8%,55.0%,$0.04,$0.01,$0.03,$0.01,$0.38
614,"58,471","53,375","57,173","52,164","20,196","117,028","50,399","59,225","412,826",66.5,"35,788","9,271","12,528","51,322",37.1,44.3,"26,911","98,563","16,101","695,110","63,894",76,"5,528",58,"10,038","27,096","$2,511.71",$739.62,"$1,620.81",$513.17,6.7%,2.3%,43.1%,0.9,87.8%,2.0,61.2%,15.9%,21.4%,34.5%,7.06,0.84,27.5%,54.6%,$0.04,$0.01,$0.03,$0.01,$0.45
