Event Data Level Sequence In Catalog,Unq Users level start,Event Data Unq Users Level Started (Before X Days),Unq Users level complete,Event Data Unq Users Level Completed (Before X Days),Unq Users level fail,Event Data # Level Start Events,Event Data # Level Fail Events,Event Data # Level Complete Events,# Level Steps,Avg Stacks Placed to Complete,Unq Users Level complete (1st attempt),Unq Users Level complete (2nd attempt),Unq Users Level complete (3+ attempt),Unq Users level step,Avg Stacks Placed to Fail,Avg goal complete % - Lvl Fail,# Rv Slot Unlock,# powerup used,unq users used rv slot,Coin Sink,# Level Pre Fail Events,Payers,Total Customer,Median Coin Balance,Coin Balance Below 20,Booster Balance 0,Total Level Revenue,Total Level RV Revenue,Total Level Ad Revenue,IAP Revenue,Funnel %,Level Churn %,Level Fail %,Fail / User,Absolute Level Fail % (Unique),Retry Ratio,Lvl complete % (1st Attempt),Lvl complete % (2nd Attempt),Lvl complete % (3+ Attempt),Unique Level Fail %,Avg Play on used,Avg Powerup Used,Rv Slot % (unique),Level Pre Fail %,Total Revenue / User,Total RV Revenue / User,Total Ad Revenue / User,IAP Revenue / User,ARPPU
44,"282,556","262,377","279,270","259,256","80,693","423,194","129,131","279,656","1,102,385",75.3,"192,556","54,034","32,780","233,250",41.8,39.7,0,"52,445",0,"775,185","136,955",144,"10,519",79,"26,982","105,933","$8,373.07","$1,556.22","$6,821.02",$962.53,32.5%,1.2%,30.5%,0.5,82.6%,1.5,68.1%,19.1%,11.6%,28.6%,3.90,0.12,0.0%,32.4%,$0.03,$0.01,$0.02,$0.00,$0.80
45,"300,642","279,602","297,819","276,824","19,510","347,971","35,751","304,177","736,984",34.9,"274,792","14,951","8,995","206,025",54.7,51.9,"16,284","37,526","9,326","284,465","39,313",44,"11,241",84,"23,419","111,896","$5,792.75",$632.35,"$4,833.15",$374.55,34.7%,1.0%,10.3%,0.1,68.5%,1.2,91.4%,5.0%,3.0%,6.5%,2.45,0.11,3.1%,11.3%,$0.02,$0.00,$0.02,$0.00,$0.52
46,"302,827","281,631","294,488","273,378","85,271","518,042","191,689","300,044","1,481,850",58.6,"206,195","50,299","39,536","249,113",58.5,56.5,"41,062","119,415","22,755","859,860","208,197",122,"10,949",87,"23,046","109,187","$6,817.90","$1,231.59","$6,390.50","$1,118.66",34.3%,2.9%,37.0%,0.6,82.3%,1.8,68.1%,16.6%,13.1%,28.2%,4.89,0.23,7.5%,40.2%,$0.02,$0.00,$0.02,$0.00,$0.62
47,"287,223","266,682","278,466","258,441","148,252","743,966","422,564","278,854","2,429,522",90.2,"126,402","58,593","93,606","260,067",37.4,21.8,"118,904","237,683","49,238","1,349,345","447,418",461,"10,753",91,"25,902","102,158","$11,028.13","$2,163.32","$9,540.05","$3,264.07",32.5%,3.1%,56.8%,1.5,90.5%,2.7,44.0%,20.4%,32.6%,51.6%,8.46,0.32,17.1%,60.1%,$0.04,$0.01,$0.03,$0.01,$1.03
48,"309,557","287,284","300,331","278,465","137,140","680,768","331,828","307,829","2,317,009",85.5,"158,719","62,520","80,487","276,215",54.6,63.1,"165,720","297,310","81,858","1,617,215","358,549",335,"12,140",91,"35,796","115,391","$13,743.20","$3,411.11","$10,541.18","$2,099.53",35.0%,3.1%,48.7%,1.1,89.2%,2.3,51.3%,20.2%,26.0%,44.3%,7.48,0.44,26.4%,52.7%,$0.04,$0.01,$0.03,$0.01,$1.13
49,"413,243","388,259","279,007","258,383","357,061","6,638,729","5,801,637","286,266","21,772,190",99.6,"34,742","18,268","228,291","416,397",37.9,24.3,"537,013","1,388,767","120,662","5,283,605","6,179,956","3,303","14,947",68,"127,520","194,914","$96,102.78","$19,850.49","$81,398.53","$23,474.36",32.5%,33.5%,87.4%,14.0,100.8%,23.8,8.4%,4.4%,55.2%,86.4%,52.69,0.21,29.2%,93.1%,$0.23,$0.05,$0.20,$0.06,$6.43
50,"269,046","248,849","260,038","240,286","134,251","650,689","346,131","261,157","2,048,456",56.4,"121,038","56,305","82,921","237,520",43.2,46.7,"137,860","241,123","62,114","1,220,335","368,235",363,"11,554",72,"55,010","121,859","$21,827.09","$3,571.20","$10,660.79","$2,379.05",30.3%,3.4%,53.2%,1.3,88.3%,2.5,45.0%,20.9%,30.8%,49.9%,7.61,0.37,23.1%,56.6%,$0.08,$0.01,$0.04,$0.01,$1.89
51,"286,774","266,175","274,400","254,460","171,648","931,571","589,043","281,812","2,947,722",64.7,"103,179","52,321","120,355","263,573",28.1,20.8,"207,330","359,033","88,740","1,795,550","624,430",553,"12,242",69,"54,208","132,032","$15,199.71","$4,404.53","$12,170.73","$3,713.02",32.0%,4.4%,63.2%,2.1,91.9%,3.4,36.0%,18.2%,42.0%,59.9%,10.28,0.39,30.9%,67.0%,$0.05,$0.02,$0.04,$0.01,$1.24
52,"281,673","262,410","269,539","250,604","94,307","558,006","246,653","275,691","1,672,849",111.8,"175,241","50,064","46,396","244,105",36.2,25.8,"19,772","112,927","10,285","1,157,930","265,905",298,"11,748",72,"42,926","123,921","$12,305.66","$3,285.89","$9,323.27","$2,023.72",31.4%,4.5%,44.2%,0.9,86.7%,2.1,62.2%,17.8%,16.5%,33.5%,5.94,0.20,3.7%,47.7%,$0.04,$0.01,$0.03,$0.01,$1.05
53,"278,173","257,512","271,464","250,945","91,828","476,615","174,540","277,752","1,427,051",70.5,"175,078","56,071","42,107","237,708",31.9,23.6,"87,945","162,776","48,855","1,038,795","187,264",231,"11,759",74,"35,065","117,495","$8,633.28","$1,488.57","$6,831.21","$1,754.52",31.6%,2.6%,36.6%,0.6,85.5%,1.8,62.9%,20.2%,15.1%,33.0%,5.13,0.34,17.6%,39.3%,$0.03,$0.01,$0.02,$0.01,$0.73
